item_id,title,brand,product_type,bullet_points,color,material,item_dimensions,defect,defect_type,quality_score
B07K4YXTZH,"Umi. by Amazon - Lámpara de pie, pantalla de tela, cilíndrica, 144,27 cm, beige",Umi,LAMP,"Elegante y minimalista, ideal para un estilo moderno.",Nickel,Textura,"{'height': {'normalized_value': {'unit': 'inches', 'value': 56.799999942064}, 'unit': 'centimeters', 'value': 144.272}, 'length': {'normalized_value': {'unit': 'inches', 'value': 13.699999986026}, 'unit': 'centimeters', 'value': 34.798}, 'width': {'normalized_value': {'unit': 'inches', 'value': 13.699999986026}, 'unit': 'centimeters', 'value': 34.798}}",0,none,100.0
B07CV95ZNX_DEFECT,Urban living Remache Impreso Sateen-PARENT2,,HOME_BED_AND_BATH,,,,,1,missing_attribute,54.2
B07TG4SJQ6_DEFECT,Amazon Brand - Solimo Designer Police Booth 3D Printed Hard Back Case Mobile Cover for LG V20,Amazon Brand - Solimo,CLOTHING,3D Printed Hard Back Case Mobile Cover for LG V20,Others,,,1,category_mismatch,47.9
B07TH383NR_DEFECT,Amazon Brand - Solimo Designer Blue and Yellow Texture 3D Printed Hard Back Case Mobile Cover for Vivo Y21L,Amazon Brand - Solimo,SOFA,3D Printed Hard Back Case Mobile Cover for Vivo Y21L,Others,,,1,category_mismatch,50.9
B085M2RM5P,"find. Elliot, Men’s Loafers",find.,SHOES,,,,,0,none,100.0
B07KZ7VNZX,"AmazonBasics yüksek kaliteli mikrofiber yatak örtüsü, Grey Cabana Stripe, 275 x 275 cm",AmazonBasics,FLAT_SHEET,,Grey Cabana Stripe,,"{'height': {'normalized_value': {'unit': 'inches', 'value': 1.38}, 'unit': 'inches', 'value': 1.38}, 'length': {'normalized_value': {'unit': 'inches', 'value': 11.42}, 'unit': 'inches', 'value': 11.42}, 'width': {'normalized_value': {'unit': 'inches', 'value': 9.45}, 'unit': 'inches', 'value': 9.45}}",0,none,100.0
B07VP77R4R_DEFECT,AmazonBasics - Rascador para Gatos (renovado) - AmazonBasics - Rascador para Gatos (renovado),AmazonBasics,PET_SUPPLIES, ,Burgundy,,"{'height': {'normalized_value': {'unit': 'inches', 'value': 25.2}, 'unit': 'inches', 'value': 25.2}, 'length': {'normalized_value': {'unit': 'inches', 'value': 11.81}, 'unit': 'inches', 'value': 11.81}, 'width': {'normalized_value': {'unit': 'inches', 'value': 11.81}, 'unit': 'inches', 'value': 11.81}}",1,duplicate,79.1
B07QLKSQPV,"Eono by Amazon – tvättnät tvättväska BH tvättpåse tvättpåse tvättpåse hållbar maskintvätt för känslig, blus, skor, BH, underkläder, babykläder, Wash Bag, 7 set",Eono,STORAGE_BAG,"Högvärde: Med hållbara sömmar, robusta material och blixtlås av hög kvalitet, denna sats tvättväska/tvättväska/tvättpåse/tvättpåse idealisk för känsliga blusar, strumpbyxor, underkläder, babykläder och skor.",Silkesnät 7 stycken 1xl + 2 l + 2 m + 2 b,,,0,none,100.0
B07GL6G724_DEFECT,365 by,365 by Whole Foods Market,DAIRY_BASED_CHEESE,"Brought to you by Whole Foods Market.  The packaging for this product has a fresh new look. During this transition, you may get the original packaging or the new packaging in your order, but the product and quality is staying exactly the same. Enjoy!",,,"{'height': {'normalized_value': {'unit': 'inches', 'value': 2.35}, 'unit': 'inches', 'value': 2.35}, 'length': {'normalized_value': {'unit': 'inches', 'value': 6.5}, 'unit': 'inches', 'value': 6.5}, 'width': {'normalized_value': {'unit': 'inches', 'value': 1.75}, 'unit': 'inches', 'value': 1.75}}",1,truncated_title,55.4
B07T1JH5KY_DEFECT,Amazon Brand,Amazon Brand - Solimo,CELLULAR_PHONE_CASE,3D Printed Hard Back Case Mobile Cover for Micromax Canvas Spark Q380,Others,Canvas,,1,truncated_title,57.4
B07TG3B5PF,Amazon Brand - Solimo Designer Enjoy Your Life 3D Printed Hard Back Case Mobile Cover for Vivo Y66,Amazon Brand - Solimo,CELLULAR_PHONE_CASE,3D Printed Hard Back Case Mobile Cover for Vivo Y66,Others,,,0,none,100.0
B083P9HWWQ_DEFECT,Amazon Brand - Solimo Protective Clear View flip Cover for Vivo Z1 Pro (Black),Amazon Brand - Solimo,BEAUTY,"Easy to put and take off, Compatible with Vivo Z1 Pro",Black,Metal::Plastic,,1,category_mismatch,56.3
B08413HX48_DEFECT,"Fresh Brand – Cinnamon Raisin Pre-Sliced Bagels, 21 oz (6 ct)",,BREAD,21-ounce bag of 6 cinnamon raisin bagels,,,"{'height': {'normalized_value': {'unit': 'inches', 'value': 9.75}, 'unit': 'inches', 'value': 9.75}, 'length': {'normalized_value': {'unit': 'inches', 'value': 15}, 'unit': 'inches', 'value': 15}, 'width': {'normalized_value': {'unit': 'inches', 'value': 4.5}, 'unit': 'inches', 'value': 4.5}}",1,missing_attribute,60.4
B08569DZ8K_DEFECT,Amazon Brand,Amazon Brand - Solimo,CELLULAR_PHONE_CASE,"Snug fit for Oppo Reno 2, with perfect cut-outs for volume buttons, audio and charging ports",Multicolor,Plastic,,1,truncated_title,65.9
B08FK1S35Y_DEFECT,"The Drop Nina Baskets Tendance À Lacets, Fashion-Sneakers Femme",The Drop,HARDWARE,Agrafes par la goutte.,,,,1,category_mismatch,57.8
B07HFXLYKX,"[Amazon Collection] Amazon Collection 铂金系列 纯银 透明公主切割 立方氧化锆 7颗宝石 带环、尺寸9, 银",Amazon Collection(アマゾンコレクション),RING,方晶锆石(CZ),,,,0,none,100.0
B00EQ5H9KE_DEFECT,"Pinzon by Amazon - Sábana bajera ajustable ultrasuave (percal de algodón de 300 hilos), color gris, talla 125 x 200 x 30 cm",Pinzon by Amazon,ELECTRONICS,Sábana bajera ajustable - Dimensiones: 125 x 200 x 30 cm,Gris,100% cotton,"{'height': {'normalized_value': {'unit': 'inches', 'value': 2.1259842498}, 'unit': 'centimeters', 'value': 5.4}, 'length': {'normalized_value': {'unit': 'inches', 'value': 78.7401574}, 'unit': 'centimeters', 'value': 200}, 'width': {'normalized_value': {'unit': 'inches', 'value': 49.212598375}, 'unit': 'centimeters', 'value': 125}}",1,category_mismatch,59.0
B08CR8V8VR_DEFECT,JSPA Sun,,HAT,,Blue Print*,,,1,truncated_title,46.6
B07YZKW8XX_DEFECT,Amazon Basic 立体声音频延长线,Amazonベーシック(AmazonBasics),SOFA,,,,,1,category_mismatch,47.0
B07N6V9Z41_DEFECT,AmazonBasics 亚马逊倍思 防滑浴室地毯 带纹理波浪,,HOME_BED_AND_BATH,,,,,1,missing_attribute,30.9
B084LLN7FB,"find. Marco-03w4-002 Stivaletti alla Caviglia, Nero, 7",find.,SHOES,,Nero,,,0,none,100.0
B07HGQ7MHB,UMI Cadre Photo 10 x 15 cm Cadre Décoration Mariage Lot de 12 Cadres Noir,UMI,HOME,Cadre photos mural en bois reconstitué avec un vitre en verre claire,10x15cm Lot de 12,Bois,"{'height': {'normalized_value': {'unit': 'inches', 'value': 0.9}, 'unit': 'inches', 'value': 0.9}, 'length': {'normalized_value': {'unit': 'inches', 'value': 7.3}, 'unit': 'inches', 'value': 7.3}, 'width': {'normalized_value': {'unit': 'inches', 'value': 5.3}, 'unit': 'inches', 'value': 5.3}}",0,none,100.0
B07V3TDP49_DEFECT,AmazonBasics Set,AmazonBasics,SCREWDRIVER,"Set da 32 pezzi di cacciaviti per riparazione di apparecchi elettronici, per stringere o allentare facilmente viti; design leggero e compatto; ideale per riparare computer portatili, tablet, smartphone, occhiali da sole, macchine fotografiche, orologi da polso e molto altro",,,"{'height': {'normalized_value': {'unit': 'inches', 'value': 1.25}, 'unit': 'inches', 'value': 1.25}, 'length': {'normalized_value': {'unit': 'inches', 'value': 8}, 'unit': 'inches', 'value': 8}, 'width': {'normalized_value': {'unit': 'inches', 'value': 4.5}, 'unit': 'inches', 'value': 4.5}}",1,truncated_title,67.0
B086VT5PKV,"AmazonBasics Kids Ear-Protection Safety Noise Earmuffs, Yellow",AmazonBasics,SAFETY_SUPPLY,Kids' safety earmuffs help protect ears from loud noises; ANSI S3.19-1974 certified,Yellow,,"{'height': {'normalized_value': {'unit': 'inches', 'value': 4.7}, 'unit': 'inches', 'value': 4.7}, 'length': {'normalized_value': {'unit': 'inches', 'value': 4.7}, 'unit': 'inches', 'value': 4.7}, 'width': {'normalized_value': {'unit': 'inches', 'value': 3.54}, 'unit': 'inches', 'value': 3.54}}",0,none,100.0
B07TB54PN6,Amazon Brand - Solimo Designer Feather Texture 3D Printed Hard Back Case Mobile Cover for Samsung Galaxy S7 Edge,Amazon Brand - Solimo,CELLULAR_PHONE_CASE,3D Printed Hard Back Case Mobile Cover for Samsung Galaxy S7 Edge,Others,,,0,none,100.0
B07TB53TQT,Amazon Brand - Solimo Designer Police Booth 3D Printed Hard Back Case Mobile Cover for Micromax Canvas Nitro 4G E455,Amazon Brand - Solimo,CELLULAR_PHONE_CASE,3D Printed Hard Back Case Mobile Cover for Micromax Canvas Nitro 4G E455,Others,,,0,none,100.0
